customer_id,plan_type,tenure_months,monthly_fee,num_devices,streaming_hours_per_week,support_tickets,churned
1,Premium,8,19.99,1,22.4,0,0
2,Premium,58,19.99,5,3.1,0,0
3,Basic,6,8.99,2,7.4,1,0
4,Premium,35,19.99,4,7.0,1,0
5,Basic,49,8.99,2,21.1,0,0
6,Standard,7,13.99,1,11.7,0,1
7,Standard,39,13.99,3,24.3,2,0
8,Standard,6,13.99,5,9.1,1,0
9,Standard,37,13.99,2,21.3,0,0
10,Basic,55,8.99,2,26.1,0,0
11,Standard,41,13.99,3,5.3,0,0
12,Premium,42,19.99,1,18.5,0,0
13,Premium,16,19.99,2,14.1,0,0
14,Basic,44,8.99,3,25.4,2,0
15,Basic,53,8.99,1,24.2,0,0
16,Premium,57,19.99,3,6.8,1,0
17,Premium,30,19.99,2,8.3,0,0
18,Premium,28,19.99,5,12.3,0,0
19,Basic,33,8.99,4,3.2,0,0
20,Premium,28,19.99,5,2.4,0,0
21,Standard,34,13.99,3,29.1,2,0
22,Premium,57,19.99,5,22.7,2,0
23,Standard,8,13.99,3,13.3,1,1
24,Standard,33,13.99,2,15.5,0,0
25,Premium,20,19.99,5,18.5,0,0
26,Premium,59,19.99,1,18.2,1,0
27,Basic,60,8.99,3,26.4,2,0
28,Premium,6,19.99,1,22.1,2,0
29,Premium,50,19.99,2,4.3,1,0
30,Premium,28,19.99,2,27.9,2,0
31,Premium,13,19.99,3,12.3,1,0
32,Standard,8,13.99,2,7.1,0,1
33,Premium,36,19.99,2,17.9,0,0
34,Basic,58,8.99,1,25.9,0,0
35,Basic,18,8.99,4,6.8,0,1
36,Standard,16,13.99,4,24.3,0,0
37,Basic,43,8.99,4,11.0,0,0
38,Premium,42,19.99,1,2.3,2,0
39,Basic,16,8.99,2,6.1,0,0
40,Basic,56,8.99,1,13.6,2,0
41,Premium,7,19.99,1,19.7,1,0
42,Basic,11,8.99,4,14.8,0,0
43,Standard,58,13.99,1,5.4,0,0
44,Standard,19,13.99,4,21.0,2,1
45,Premium,43,19.99,4,5.1,0,0
46,Premium,4,19.99,3,2.2,1,1
47,Premium,59,19.99,5,5.1,4,1
48,Premium,5,19.99,2,12.4,3,1
49,Premium,16,19.99,5,18.0,1,0
50,Premium,21,19.99,3,6.5,2,1
51,Basic,17,8.99,4,4.4,1,0
52,Basic,1,8.99,4,18.8,1,0
53,Basic,5,8.99,5,6.8,0,1
54,Basic,24,8.99,3,5.2,2,0
55,Premium,20,19.99,5,29.5,2,0
56,Premium,20,19.99,1,28.2,0,0
57,Basic,57,8.99,1,22.4,0,0
58,Standard,14,13.99,3,15.4,0,0
59,Basic,6,8.99,4,25.0,0,0
60,Standard,11,13.99,4,16.8,0,0
61,Basic,8,8.99,1,28.4,1,0
62,Standard,38,13.99,5,4.9,0,0
63,Standard,24,13.99,1,27.0,0,0
64,Premium,57,19.99,4,29.2,2,0
65,Basic,56,8.99,2,29.3,2,0
66,Premium,60,19.99,3,23.6,0,0
67,Premium,56,19.99,2,8.4,2,1
68,Standard,15,13.99,2,24.6,1,0
69,Standard,53,13.99,2,7.1,1,0
70,Basic,50,8.99,3,10.9,1,0
71,Premium,54,19.99,5,10.3,0,0
72,Premium,17,19.99,1,3.7,0,0
73,Premium,51,19.99,3,13.4,4,1
74,Basic,17,8.99,1,21.4,0,0
75,Premium,44,19.99,2,11.2,0,0
76,Standard,43,13.99,1,21.7,0,0
77,Standard,43,13.99,4,10.1,1,0
78,Premium,25,19.99,2,18.7,0,0
79,Premium,54,19.99,1,9.5,0,0
80,Standard,30,13.99,4,13.5,0,0
81,Standard,51,13.99,2,19.9,0,0
82,Basic,53,8.99,2,20.3,0,0
83,Basic,10,8.99,1,1.9,4,1
84,Standard,27,13.99,5,6.2,1,0
85,Standard,26,13.99,2,4.9,1,1
86,Basic,50,8.99,4,7.0,2,0
87,Premium,34,19.99,4,2.0,0,0
88,Standard,43,13.99,5,29.6,1,0
89,Standard,40,13.99,5,13.1,3,0
90,Standard,29,13.99,3,22.7,2,0
91,Standard,50,13.99,5,14.8,0,0
92,Basic,18,8.99,3,9.9,1,0
93,Basic,10,8.99,2,11.8,0,0
94,Standard,35,13.99,4,12.8,0,0
95,Standard,25,13.99,5,28.4,0,0
96,Standard,1,13.99,3,9.3,0,0
97,Standard,35,13.99,5,24.1,3,0
98,Standard,2,13.99,4,10.4,1,1
99,Standard,47,13.99,2,25.3,3,0
100,Standard,38,13.99,5,20.1,0,0
101,Standard,9,13.99,4,5.9,0,0
102,Standard,49,13.99,4,8.7,3,1
103,Standard,17,13.99,1,14.4,2,1
104,Basic,42,8.99,1,23.5,1,0
105,Basic,16,8.99,2,25.3,1,0
106,Basic,37,8.99,2,14.2,0,0
107,Standard,11,13.99,5,18.4,2,1
108,Standard,7,13.99,5,1.3,0,1
109,Premium,59,19.99,4,12.2,2,0
110,Premium,16,19.99,1,21.1,0,0
111,Premium,39,19.99,1,24.0,1,0
112,Premium,24,19.99,1,15.4,0,0
113,Standard,53,13.99,4,3.6,4,0
114,Premium,10,19.99,4,5.7,1,0
115,Premium,18,19.99,5,24.3,1,0
116,Premium,38,19.99,3,10.0,0,0
117,Basic,18,8.99,4,7.7,1,0
118,Basic,32,8.99,3,5.9,0,0
119,Standard,22,13.99,3,26.5,2,0
120,Basic,6,8.99,2,21.7,1,0
121,Basic,45,8.99,4,19.6,1,0
122,Basic,26,8.99,2,9.5,1,0
123,Standard,36,13.99,5,10.6,4,0
124,Standard,18,13.99,3,7.9,0,0
125,Basic,21,8.99,1,22.4,3,0
126,Premium,31,19.99,3,21.9,4,0
127,Premium,39,19.99,3,29.4,2,0
128,Standard,1,13.99,5,4.2,0,1
129,Basic,36,8.99,3,21.1,0,0
130,Basic,37,8.99,3,14.3,0,0
